Date,Time,Latitude,Longitude,Temperature,Salinity,pH,Distance
2016.1.15,1:50,38.749302,121.736177,5.843433,32.076033,8.1804,148.477 
2016.1.15,1:51,38.746727,121.735825,5.8327,32.077567,8.180167,148.191 
2016.1.15,1:52,38.744185,121.735527,5.839433,32.077633,8.180433,147.909 
2016.1.15,1:53,38.741715,121.735237,5.8489,32.077533,8.180067,147.635 
2016.1.15,1:54,38.739073,121.734908,5.842067,32.078333,8.180167,147.341 
2016.1.15,1:55,38.736608,121.734562,5.859733,32.080333,8.180567,147.067 
2016.1.15,1:56,38.734067,121.73426,5.8791,32.081167,8.1801,146.785 
2016.1.15,1:57,38.731445,121.733932,5.893167,32.0835,8.179567,146.494 
2016.1.15,1:58,38.728937,121.733498,5.9223,32.086833,8.1794,146.213 
2016.1.15,1:59,38.726523,121.733142,5.961633,32.089467,8.178433,145.944 
2016.1.15,2:00,38.72403,121.732825,5.999967,32.092533,8.178,145.667 
2016.1.15,2:01,38.721648,121.732418,6.037333,32.098633,8.1769,145.401 
2016.1.15,2:02,38.719193,121.73196,6.086333,32.102,8.1757,145.126 
2016.1.15,2:03,38.71663,121.731405,6.130267,32.105633,8.1749,144.837 
2016.1.15,2:04,38.714125,121.730968,6.178567,32.1091,8.174167,144.557 
2016.1.15,2:05,38.71164,121.730423,6.224533,32.111867,8.173133,144.276 
2016.1.15,2:06,38.709132,121.729917,6.2692,32.116967,8.1724,143.995 
2016.1.15,2:07,38.706608,121.729493,6.303933,32.119967,8.1711,143.712 
2016.1.15,2:08,38.704073,121.729265,6.344367,32.1215,8.170433,143.433 
2016.1.15,2:09,38.701642,121.72894,6.369267,32.124267,8.169667,143.162 
2016.1.15,2:10,38.69904,121.728568,6.398833,32.1249,8.169733,142.873 
2016.1.15,2:11,38.69661,121.728342,6.419767,32.127533,8.1697,142.604 
2016.1.15,2:12,38.694155,121.727693,6.445933,32.126967,8.170267,142.325 
2016.1.15,2:13,38.691667,121.726947,6.457033,32.128,8.169133,142.041 
2016.1.15,2:14,38.6893,121.72643,6.4796,32.127433,8.169033,141.775 
2016.1.15,2:15,38.686847,121.725885,6.4964,32.130033,8.169433,141.498 
2016.1.15,2:16,38.684372,121.725383,6.512067,32.132867,8.1689,141.220 
2016.1.15,2:17,38.681838,121.724767,6.5323,32.134533,8.168267,140.933 
2016.1.15,2:18,38.679428,121.724403,6.545,32.133833,8.1684,140.664 
2016.1.15,2:19,38.676917,121.724033,6.558367,32.134933,8.168833,140.385 
2016.1.15,2:20,38.67444,121.72361,6.573433,32.1357,8.168767,140.108 
2016.1.15,2:21,38.671865,121.723233,6.584667,32.1383,8.1683,139.821 
2016.1.15,2:22,38.669448,121.722902,6.605067,32.139433,8.167633,139.552 
2016.1.15,2:23,38.666935,121.722595,6.615633,32.137633,8.167367,139.273 
2016.1.15,2:24,38.664475,121.721973,6.618,32.138933,8.1666,138.994 
2016.1.15,2:25,38.66192,121.721365,6.626167,32.138933,8.1668,138.706 
2016.1.15,2:26,38.659467,121.720725,6.6283,32.1384,8.166833,138.427 
2016.1.15,2:27,38.65727,121.719768,6.6372,32.138733,8.166933,138.171 
2016.1.15,2:28,38.654767,121.719595,6.644267,32.1409,8.167067,137.896 
2016.1.15,2:29,38.65236,121.719443,6.648833,32.140767,8.166867,137.631 
2016.1.15,2:30,38.649842,121.719278,6.6573,32.1418,8.166667,137.355 
2016.1.15,2:31,38.647315,121.718643,6.670633,32.142033,8.1663,137.068 
2016.1.15,2:32,38.64494,121.718053,6.6831,32.143733,8.1661,136.799 
2016.1.15,2:33,38.642437,121.71728,6.69,32.144567,8.165867,136.513 
2016.1.15,2:34,38.640048,121.717078,6.694033,32.144533,8.165633,136.250 
2016.1.15,2:35,38.637438,121.71711,6.701233,32.144967,8.1651,135.967 
2016.1.15,2:36,38.635,121.716882,6.699367,32.1463,8.1651,135.698 
2016.1.15,2:37,38.63241,121.717207,6.706633,32.1482,8.164167,135.422 
2016.1.15,2:38,38.629875,121.716915,6.7176,32.146233,8.164367,135.141 
2016.1.15,2:39,38.627428,121.716763,6.727667,32.145833,8.1641,134.873 
2016.1.15,2:40,38.624777,121.716542,6.732667,32.146933,8.164367,134.581 
2016.1.15,2:41,38.622133,121.71647,6.742,32.149133,8.1645,134.292 
2016.1.15,2:42,38.61957,121.716418,6.748867,32.1496,8.1643,134.013 
2016.1.15,2:43,38.617022,121.716277,6.7522,32.1504,8.163833,133.733 
2016.1.15,2:44,38.614477,121.716243,6.762567,32.152433,8.162867,133.456 
2016.1.15,2:45,38.612033,121.715823,6.781967,32.152267,8.164233,133.183 
2016.1.15,2:46,38.609578,121.715063,6.796067,32.152967,8.1632,132.902 
2016.1.15,2:47,38.607027,121.71431,6.8082,32.156733,8.1619,132.611 
2016.1.15,2:48,38.604682,121.713438,6.828533,32.156333,8.1627,132.340 
2016.1.15,2:49,38.602203,121.712788,6.836867,32.156533,8.1621,132.059 
2016.1.15,2:50,38.599723,121.712217,6.844967,32.156,8.162467,131.779 
2016.1.15,2:51,38.597218,121.711623,6.850967,32.155333,8.162933,131.496 
2016.1.15,2:52,38.594617,121.711008,6.8499,32.157133,8.162733,131.202 
2016.1.15,2:53,38.59218,121.710352,6.8621,32.157967,8.1634,130.925 
2016.1.15,2:54,38.589578,121.709687,6.8713,32.159533,8.1633,130.630 
2016.1.15,2:55,38.58717,121.709035,6.888033,32.159967,8.163067,130.356 
2016.1.15,2:56,38.584767,121.708028,6.901733,32.159767,8.162933,130.077 
2016.1.15,2:57,38.582298,121.707047,6.911667,32.159967,8.163367,129.790 
2016.1.15,2:58,38.579842,121.706285,6.916067,32.160567,8.163267,129.509 
2016.1.15,2:59,38.57745,121.705545,6.918433,32.160867,8.1641,129.236 
2016.1.15,3:00,38.57494,121.704925,6.9205,32.160733,8.1636,128.951 
