Date,Latitude,Salinity
2016-01-31,38.1,32.12941719
2016-01-31,38.2,32.07982524
2016-01-31,38.3,32.07458468
2016-01-31,38.4,32.11942341
2016-01-31,38.5,32.17956314
2016-01-31,38.6,32.17494411
2016-01-31,38.7,32.15365529
2016-01-31,38.8,32.11788205
2016-01-31,38.9,32.10723251
2016-01-31,39,32.03673914
2016-02-01,37.6,31.51056188
2016-02-01,37.7,31.63027236
2016-02-01,37.8,31.88170042
2016-02-01,37.9,32.06455414
2016-02-01,38,32.10907658
2016-02-01,38.1,32.11827903
2016-02-01,38.2,32.08026793
2016-02-01,38.3,32.09573332
2016-02-01,38.4,32.15726984
2016-02-01,38.5,32.19236979
2016-02-01,38.6,32.1661198
2016-02-01,38.7,32.12778094
2016-02-01,38.8,32.09467332
2016-02-01,38.9,32.0467171
2016-02-01,39,31.93137467
2016-02-16,37.6,31.835118
2016-02-16,38.1,31.31805641
2016-02-16,38.2,31.48593086
2016-02-16,38.3,31.62958976
2016-02-16,38.4,31.65801033
2016-02-16,38.5,31.6576881
2016-02-16,38.6,31.91260755
2016-02-16,38.7,32.16295633
2016-02-16,38.8,32.24926088
2016-02-16,38.9,32.27259418
2016-02-16,39,32.23544443
2016-02-18,37.6,31.72504369
2016-02-18,37.7,32.13997997
2016-02-18,37.8,32.17324288
2016-02-18,37.9,32.14131009
2016-02-18,38,32.07840312
2016-02-18,38.1,32.07345812
2016-02-18,38.2,32.10415948
2016-02-18,38.3,32.14572224
2016-02-18,38.4,32.17616973
2016-02-18,38.5,32.20263934
2016-02-18,38.6,32.18283257
2016-02-18,38.7,32.10418724
2016-02-18,38.8,32.0367691
2016-02-18,38.9,31.99988867
2016-02-19,37.6,31.33685236
2016-02-19,37.7,31.4365991
2016-02-19,37.8,31.80670849
2016-02-19,37.9,32.06405133
2016-02-19,38,32.08898721
2016-02-19,38.1,32.05671316
2016-02-19,38.2,32.05959647
2016-02-19,38.3,32.08163744
2016-02-19,38.4,32.10143861
2016-02-19,38.5,32.12540346
2016-02-19,38.6,32.16827151
2016-02-19,38.7,32.1832746
2016-02-19,38.8,32.11470603
2016-02-19,38.9,32.06462738
2016-02-19,39,32.05748571
2016-02-21,37.6,31.6499734
2016-02-21,37.7,31.86677961
2016-02-21,37.8,32.17009219
2016-02-21,37.9,32.14269761
2016-02-21,38,32.08556507
2016-02-21,38.1,32.08921629
2016-02-21,38.2,32.13144214
2016-02-21,38.3,32.16323339
2016-02-21,38.4,32.19193739
2016-02-21,38.5,32.20783737
2016-02-21,38.6,32.19338085
2016-02-21,38.7,32.10282987
2016-02-21,38.8,32.03378595
2016-02-21,38.9,31.97653511
2016-02-21,39,31.83814689
2016-02-22,37.6,31.27237657
2016-02-22,37.7,31.54651814
2016-02-22,37.8,31.93023806
2016-02-22,37.9,32.07043517
2016-02-22,38,32.05580471
2016-02-22,38.1,32.00509725
2016-02-22,38.2,31.93624908
2016-02-22,38.3,31.89139281
2016-02-22,38.4,32.07067741
2016-02-22,38.5,32.14801588
2016-02-22,38.6,32.18763249
2016-02-22,38.7,32.19040172
2016-02-22,38.8,32.12477245
2016-02-22,38.9,32.0506176
2016-02-22,39,32.02739975
2016-02-23,37.6,31.5277714
2016-02-23,37.7,31.76835776
2016-02-23,37.8,32.14475874
2016-02-23,37.9,32.12213252
2016-02-23,38,32.064822
2016-02-23,38.1,32.06682423
2016-02-23,38.2,32.10772755
2016-02-23,38.3,32.14416173
2016-02-23,38.4,32.18228887
2016-02-23,38.5,32.19503942
2016-02-23,38.6,32.17146323
2016-02-23,38.7,32.11195089
2016-02-23,38.8,32.04593595
2016-02-23,38.9,31.97408885
2016-02-23,39,31.82211381
2016-02-25,37.6,31.3464342
2016-02-25,37.7,31.52896072
2016-02-25,37.8,31.80107662
2016-02-25,37.9,32.10611619
2016-02-25,38,32.11320263
2016-02-25,38.1,32.08580181
2016-02-25,38.2,32.06601441
2016-02-25,38.3,32.06773511
2016-02-25,38.4,32.10969365
2016-02-25,38.5,32.15101273
2016-02-25,38.6,32.19438735
2016-02-25,38.7,32.22794673
2016-02-25,38.8,32.19779103
2016-02-25,38.9,32.11923605
2016-02-25,39,32.08321844
2016-03-01,37.6,31.38454995
2016-03-01,37.7,31.50753861
2016-03-01,37.8,31.78476845
2016-03-01,37.9,32.05814681
2016-03-01,38,32.080063
2016-03-01,38.1,32.06128863
2016-03-01,38.2,32.05248197
2016-03-01,38.3,32.05904037
2016-03-01,38.4,32.093118
2016-03-01,38.5,32.12524358
2016-03-01,38.6,32.1623015
2016-03-05,37.6,31.61419157
2016-03-05,37.7,32.10541247
2016-03-05,37.8,32.13169577
2016-03-05,37.9,32.07501623
2016-03-05,38,32.05291661
2016-03-05,38.1,32.07698121
2016-03-05,38.2,32.11690254
2016-03-05,38.3,32.14005895
2016-03-05,38.4,32.1481525
2016-03-05,38.5,32.15994097
2016-03-05,38.6,32.1855325
2016-03-05,38.7,32.137888
2016-03-05,38.8,32.04890846
2016-03-05,38.9,31.98724834
2016-03-05,39,31.87863044
2016-03-06,37.6,31.37432139
2016-03-06,37.7,31.52691617
2016-03-06,37.8,31.97207027
2016-03-06,37.9,32.08080359
2016-03-06,38,32.06241944
2016-03-06,38.1,32.04134763
2016-03-06,38.2,32.04483047
2016-03-06,38.3,32.04786025
2016-03-06,38.4,32.06532097
