Date,Latitude,Chlorophy
2015-11-21,38.9,0.32441078431372544
2015-11-21,39.0,0.32846325
2015-11-24,39.0,0.34450852941176474
2015-11-25,39.0,0.3299317241379312
2015-11-26,38.9,0.3522339375000001
2015-11-26,39.0,0.446887625
2015-11-27,37.6,0.35344404225352116
2015-11-27,37.7,0.34715795918367337
2015-11-27,37.8,0.34062497959183674
2015-11-27,37.9,0.33333990384615375
2015-11-27,38.0,0.34536698039215685
2015-11-27,38.1,0.3594498627450982
2015-11-27,38.2,0.35777887755102045
2015-11-27,38.3,0.35777388000000004
2015-11-27,38.4,0.3540095319148937
2015-11-27,38.5,0.34115038297872335
2015-11-27,38.6,0.3396739777777777
2015-11-27,38.7,0.33266248888888883
2015-11-27,38.8,0.33609468085106375
2015-11-27,38.9,0.3421067647058824
