Date,Latitude,pH
2015-11-14,37.9,8.154933333333336
2015-11-14,38.0,8.150831250000001
2015-11-14,38.1,8.13811489361702
2015-11-14,38.2,8.131253061224488
2015-11-14,38.3,8.128859183673471
2015-11-14,38.4,8.145337735849056
2015-11-14,38.5,8.146505999999999
2015-11-14,38.6,8.117952000000002
2015-11-14,38.7,8.0839
2015-11-14,38.8,8.07267966101695
2015-11-14,38.9,8.066156097560976
2015-11-19,38.8,7.7159320000000005
2015-11-19,38.9,7.956767032967033
2015-11-19,39.0,7.9968724137931035
2015-11-20,37.6,8.098932432432433
2015-11-20,37.7,8.173046808510634
2015-11-20,37.8,8.16821182795699
2015-11-20,37.9,8.16797052631579
2015-11-20,38.0,8.161962000000003
2015-11-20,38.1,8.14605612244898
2015-11-20,38.2,8.13108585858586
2015-11-20,38.3,8.137684782608698
2015-11-20,38.4,8.158722916666667
2015-11-20,38.5,8.135780392156862
2015-11-20,38.6,8.130808
2015-11-20,38.7,8.111479591836734
2015-11-20,38.8,8.096706382978722
2015-11-20,38.9,8.0864125
2015-11-21,38.3,8.13585
2015-11-21,38.4,8.135144444444444
2015-11-21,38.5,8.112112857142856
2015-11-21,38.6,8.12111756756757
2015-11-21,38.7,8.109663380281688
2015-11-21,38.8,8.101906451612907
2015-11-21,38.9,8.095167307692309
2015-11-21,39.0,8.091682142857145
2015-11-24,39.0,7.545344444444443
2015-11-25,39.0,8.016036666666668
2015-11-26,38.9,8.077965625000001
2015-11-26,39.0,7.7379999999999995
2015-11-27,37.6,8.1623125
