Date,Latitude,Temperature
2015-11-26,39.0,8.906704625
2015-11-27,37.6,9.439876819444445
2015-11-27,37.7,9.654151020408165
2015-11-27,37.8,10.231412836734693
2015-11-27,37.9,10.950941057692303
2015-11-27,38.0,11.836332019607843
2015-11-27,38.1,12.014294098039219
2015-11-27,38.2,11.807364
2015-11-27,38.3,11.665169359999995
2015-11-27,38.4,11.953910553191488
2015-11-27,38.5,12.292763191489364
2015-11-27,38.6,12.004254799999996
2015-11-27,38.7,11.781895644444441
2015-11-27,38.8,11.634084425531917
2015-11-27,38.9,10.935272647058824
2015-11-29,37.6,9.067203051282052
2015-11-29,37.7,9.313491344827586
2015-11-29,37.8,9.874702931034482
2015-11-29,37.9,10.598641796610172
2015-11-29,38.0,11.474423061538465
2015-11-29,38.1,11.790814098591548
