Date,Latitude,Saturation
2016-01-28,38.3,88.56359652631579
2016-01-28,38.4,88.3805128205128
2016-01-28,38.5,88.31701750000002
2016-01-28,38.6,88.05774997500001
2016-01-28,38.7,87.58108335000003
2016-01-28,38.8,88.34465443902438
2016-01-28,38.9,88.39666683333333
2016-01-30,37.6,71.50756108333334
2016-01-30,37.7,82.59241458974358
2016-01-30,37.8,83.8304165
2016-01-31,37.8,84.69412162162162
2016-01-31,37.9,86.57956142105262
2016-01-31,38.0,88.4260527368421
2016-01-31,38.1,90.26648651351353
2016-01-31,38.2,90.29015770270271
2016-01-31,38.3,89.47389635135134
2016-01-31,38.4,89.49177927027029
2016-01-31,38.5,89.09855851351354
2016-01-31,38.6,89.26529272972972
2016-01-31,38.7,89.96708331578947
2016-01-31,38.8,90.55384617948718
2016-01-31,38.9,91.55286325641025
2016-01-31,39.0,88.35350575862068
2016-02-01,37.6,85.52029631111105
2016-02-01,37.7,88.78544955263158
2016-02-01,37.8,88.82313034615385
2016-02-01,37.9,89.081956
2016-02-01,38.0,89.60727477027027
2016-02-01,38.1,90.9618036986301
2016-02-01,38.2,90.90617323684214
2016-02-01,38.3,90.37498905263155
2016-02-01,38.4,89.91968203947367
2016-02-01,38.5,89.47729994666666
2016-02-01,38.6,89.07158785135135
2016-02-01,38.7,88.31644559183673
2016-02-01,38.8,87.55047915
2016-02-01,38.9,89.97021366666664
2016-02-01,39.0,89.73849199999998
2016-02-02,38.7,89.53895837499999
2016-02-02,38.8,89.10419278124999
2016-02-02,38.9,88.85335860606058
2016-02-02,39.0,82.52327958064517
2016-02-16,37.6,0.102857
2016-02-16,38.1,18.276392117647056
2016-02-16,38.2,2.5155703023255818
2016-02-16,38.3,0.16057545238095236
2016-02-16,38.4,0.06371033333333337
2016-02-16,38.5,0.05964288095238098
2016-02-16,38.6,35.452973522727284
2016-02-16,38.7,85.50738092857141
2016-02-16,38.8,83.50406247499998
2016-02-16,38.9,57.2989375
2016-02-16,39.0,25.76855563333334
2016-02-17,38.9,90.92988740540542
2016-02-17,39.0,85.99481487037038
2016-02-18,37.6,90.09161108888885
2016-02-18,37.7,90.6121042
2016-02-18,37.8,92.98585314285712
2016-02-18,37.9,93.89290702325579
2016-02-18,38.0,92.32641474418601
2016-02-18,38.1,90.66310076744186
2016-02-18,38.2,89.84964283333332
2016-02-18,38.3,89.62529759523812
2016-02-18,38.4,88.99723484090909
2016-02-18,38.5,88.37554925
2016-02-18,38.6,88.3548485
2016-02-18,38.7,88.34904764285714
2016-02-18,38.8,89.11083332500002
2016-02-18,38.9,90.27666666666669
2016-02-19,37.6,79.06186812820513
2016-02-19,37.7,85.16431623076924
2016-02-19,37.8,86.7748076923077
2016-02-19,37.9,88.77021376923079
2016-02-19,38.0,92.31660261538461
2016-02-19,38.1,92.30368421052633
2016-02-19,38.2,90.98190789473684
2016-02-19,38.3,90.0155284390244
2016-02-19,38.4,89.87333328947368
2016-02-19,38.5,89.4032691794872
2016-02-19,38.6,89.35469509756096
2016-02-19,38.7,89.97206352380951
2016-02-19,38.8,90.11871799999997
2016-02-19,38.9,90.76034184615385
2016-02-19,39.0,91.20410714285715
2016-02-21,37.6,92.0105002
2016-02-21,37.7,92.37457309756103
2016-02-21,37.8,96.43918604651164
2016-02-21,37.9,100.63747970731706
2016-02-21,38.0,97.9677845609756
2016-02-21,38.1,94.97441065853657
2016-02-21,38.2,92.91646814285716
2016-02-21,38.3,92.17859760975612
2016-02-21,38.4,91.21888209756094
2016-02-21,38.5,90.24642280487807
2016-02-21,38.6,90.03093745
2016-02-21,38.7,90.08901315789474
2016-02-21,38.8,90.94197373684213
2016-02-21,38.9,94.49250002631577
2016-02-21,39.0,87.76087794642855
2016-02-22,37.6,75.39041663829788
2016-02-22,37.7,87.01752382857144
2016-02-22,37.8,88.8138096285714
2016-02-22,37.9,93.11777777777777
2016-02-22,38.0,97.07280957142855
2016-02-22,38.1,95.62030097222224
2016-02-22,38.2,92.18849536111112
2016-02-22,38.3,89.80180183783783
2016-02-22,38.4,92.19963970270268
2016-02-22,38.5,92.60660415000002
2016-02-22,38.6,91.27576925641024
2016-02-22,38.7,90.95852569230769
2016-02-22,38.8,91.11162497499998
2016-02-22,38.9,92.11485414999999
2016-02-22,39.0,92.6304165
2016-02-23,37.6,91.70604765714286
2016-02-23,37.7,91.83794717073172
2016-02-23,37.8,95.64355152380952
2016-02-23,37.9,97.55914678571428
2016-02-23,38.0,95.14396334146343
2016-02-23,38.1,93.100249975
2016-02-23,38.2,91.86093752500001
2016-02-23,38.3,91.20370832500002
2016-02-23,38.4,90.50495728205125
2016-02-23,38.5,89.7416447105263
2016-02-23,38.6,89.34728638461539
2016-02-23,38.7,89.34500005263158
2016-02-23,38.8,89.99318366666662
2016-02-23,38.9,94.720641025641
2016-02-23,39.0,94.02561538461539
2016-02-24,37.4,66.62289350000002
2016-02-25,37.6,77.48091810169493
2016-02-25,37.7,89.82974353846154
2016-02-25,37.8,90.83626127027024
2016-02-25,37.9,95.23970724324322
2016-02-25,38.0,99.64732455263162
2016-02-25,38.1,98.49666661111112
2016-02-25,38.2,96.23972972972975
2016-02-25,38.3,94.65854172222224
2016-02-25,38.4,94.53180175675674
2016-02-25,38.5,94.19650905405406
2016-02-25,38.6,92.54837840540542
2016-02-25,38.7,91.44578824324324
2016-02-25,38.8,91.32662164864864
2016-02-25,38.9,92.2376577027027
2016-02-25,39.0,93.51277766666668
2016-03-01,37.6,75.64087915
2016-03-01,37.7,89.90605265789475
2016-03-01,37.8,92.41151318421049
2016-03-01,37.9,98.44349100000001
2016-03-01,38.0,99.665356
2016-03-01,38.1,95.83078936842105
2016-03-01,38.2,93.2638964324324
2016-03-01,38.3,93.05853065789474
2016-03-01,38.4,93.65975227027026
2016-03-01,38.5,94.3675
2016-03-01,38.6,94.1801135
2016-03-02,38.6,93.34708335714285
2016-03-02,38.7,92.78121420000001
2016-03-02,38.8,92.63688088571429
2016-03-02,38.9,93.21552379999996
2016-03-02,39.0,96.60486111111112
2016-03-05,37.6,97.07255288888886
2016-03-05,37.7,104.43668744999995
2016-03-05,37.8,105.3483974871795
2016-03-05,37.9,104.47673074358971
2016-03-05,38.0,103.18660084210528
2016-03-05,38.1,102.79284192307695
2016-03-05,38.2,101.06318382051283
2016-03-05,38.3,99.58681625641022
2016-03-05,38.4,98.63945835000001
2016-03-05,38.5,97.3747863076923
2016-03-05,38.6,93.27508329999999
2016-03-05,38.7,92.61547007692309
2016-03-05,38.8,93.39352564102562
2016-03-05,38.9,95.79782897368422
2016-03-05,39.0,86.45353336
2016-03-06,37.6,85.97289852173911
2016-03-06,37.7,93.72123811428573
2016-03-06,37.8,99.58148643243241
2016-03-06,37.9,102.27795032432431
2016-03-06,38.0,103.36363430555556
2016-03-06,38.1,102.44802380000002
