Date,Latitude,Turbidity
2015-11-24,39.0,6.052109277777777
2015-11-25,39.0,6.507571799999999
2015-11-26,38.9,6.8621798750000025
2015-11-26,39.0,12.419233125
2015-11-27,37.6,18.041340277777778
2015-11-27,37.7,12.870934285714288
2015-11-27,37.8,7.929007938775511
2015-11-27,37.9,5.57763976923077
2015-11-27,38.0,3.8080863137254903
2015-11-27,38.1,3.3396189019607845
2015-11-27,38.2,3.2042070408163266
2015-11-27,38.3,3.247714500000001
2015-11-27,38.4,3.3862669787234037
2015-11-27,38.5,3.4678408085106387
2015-11-27,38.6,3.6890325777777777
2015-11-27,38.7,4.221128577777779
2015-11-27,38.8,4.743572085106382
2015-11-27,38.9,5.5556802941176455
2015-11-29,37.6,11.54050494871795
2015-11-29,37.7,7.488660517241379
2015-11-29,37.8,6.809485931034484
