Date,Latitude,Oxygen
2015-11-27,37.8,307.0664285510203
2015-11-27,37.9,300.6371474807692
2015-11-27,38.0,293.30537582352935
2015-11-27,38.1,287.5270588627451
2015-11-27,38.2,283.9457992653061
2015-11-27,38.3,278.48948335999995
2015-11-27,38.4,283.90074465957434
2015-11-27,38.5,286.7553723404255
2015-11-27,38.6,288.6628148444444
2015-11-27,38.7,287.11774075555553
2015-11-27,38.8,286.33498225531906
2015-11-27,38.9,291.10767152941173
2015-11-29,37.6,290.90064387179495
2015-11-29,37.7,311.6680316206896
2015-11-29,37.8,310.96923851724137
2015-11-29,37.9,304.3560027796611
2015-11-29,38.0,295.5205000307691
2015-11-29,38.1,288.1490376056337
2015-11-29,38.2,283.0968840434782
2015-11-29,38.3,279.0875612647058
2015-11-29,38.4,283.543391943662
